ablation,n_clusters_mean,n_clusters_std,n_clusters_min,n_clusters_max,noise_rate_mean,noise_rate_std,noise_rate_min,noise_rate_max,silhouette_non_noise_mean,silhouette_non_noise_std,silhouette_non_noise_min,silhouette_non_noise_max,ARI_vs_full_reference_mean,ARI_vs_full_reference_std,ARI_vs_full_reference_min,ARI_vs_full_reference_max
A0_full_objective,3.0,0.0,3,3,0.0714836861,0.0018784311,0.070271164,0.0739087302,0.9182572067,0.0048139939,0.9125509262,0.9253495932,,,,
add_demographics_sensitivity,5.0,0.0,5,5,0.1195712081,0.0004725096,0.1193783069,0.1205357143,0.5298600197,0.0030911149,0.5250256062,0.5332841873,0.6495837361,0.0005565952,0.6485637141,0.6501562405
numeric_only_objective,3.0,0.0,3,3,0.0714836861,0.0018784311,0.070271164,0.0739087302,0.9182572067,0.0048139939,0.9125509262,0.9253495932,0.9954968947,0.0034880904,0.993245342,1.0
remove_adiposity,3.3333333333,0.5163977795,3,4,0.0305335097,0.0349344213,0.0,0.070271164,0.9017893771,0.0366369056,0.8313316703,0.9295698404,0.9349292313,0.0362807012,0.8618285651,0.9570123126
remove_age,3.1666666667,0.4082482905,3,4,0.0190145503,0.0133693618,0.0,0.0276124339,0.8811541597,0.0270233788,0.8444284797,0.9060280323,0.965684665,0.0333809887,0.9200981806,0.997943764
remove_blood_pressure,3.0,0.0,3,3,0.000606261,0.0014850302,0.0,0.0036375661,0.8804535468,0.0045456521,0.8764529824,0.8893650174,0.9215877888,0.0029117411,0.9199390688,0.9275124768
remove_glycemic,3.0,0.0,3,3,0.0739087302,0.0,0.0739087302,0.0739087302,0.8718809783,0.0026346109,0.8679244518,0.8749531507,0.9688068398,0.0429051946,0.9134170526,0.9969927145
remove_hematologic,3.0,0.0,3,3,0.0230103616,0.0112727289,0.0,0.0276124339,0.8936345279,0.0172136223,0.8591036201,0.9049121141,0.9662193466,0.0229550674,0.9193663569,0.9759501229
remove_lipid,2.0,0.0,2,2,0.0474537037,0.0296973506,0.0,0.0739087302,0.8347021937,0.0418705199,0.7685720325,0.8726318479,0.2634599973,0.0768072071,0.1450771667,0.334118192
remove_liver_inflammation,3.0,0.0,3,3,0.0614252646,0.0165729544,0.0462962963,0.0765542328,0.9014274677,0.0224083025,0.8605518937,0.9180474877,0.9844710777,0.0202145018,0.944687879,0.9975950387
remove_renal,3.0,0.0,3,3,0.0631613757,0.0174153537,0.0276124339,0.070271164,0.9047162731,0.0308006032,0.8419818878,0.919870019,0.9746365183,0.0371423115,0.8988200926,0.9898035274
